City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Hami,CN,49.41,clear sky,42.8,93.45,Laoyutang Resort
4,Bluff,NZ,55.0,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
12,Ancud,CL,55.22,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
16,Neka,IR,54.91,clear sky,36.6508,53.299,گالری گل وندا
17,Ribeira Grande,PT,57.6,mist,38.5167,-28.7,Quinta da Meia Eira
23,Hobart,AU,59.25,clear sky,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
26,Ushuaia,AR,55.02,broken clouds,-54.8,-68.3,Albatross Hotel
31,Xinyang,CN,56.79,overcast clouds,32.1228,114.0656,Jinjiang Inn Style Xinyang Dongfanghong Avenue Culture Center
34,New Norfolk,AU,58.91,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
36,Coihaique,CL,57.81,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
38,Terney,RU,35.44,overcast clouds,45.0503,136.6092,"Hotel ""Ternay"""
47,Te Anau,NZ,49.19,scattered clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
55,Kelowna,CA,44.82,overcast clouds,49.8831,-119.4857,Delta Hotels by Marriott Grand Okanagan Resort
58,Saint George,US,52.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
65,Wichita,US,45.82,broken clouds,37.6922,-97.3375,Courtyard by Marriott Wichita at Old Town
68,Punta Arenas,CL,51.91,broken clouds,-53.15,-70.9167,Hotel Hain
70,Bethel,US,50.9,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
90,Morgantown,US,38.5,overcast clouds,39.6295,-79.9559,Morgantown Marriott at Waterfront Place
91,Iasmos,GR,53.92,few clouds,41.1333,25.1833,Χώρος Δασικής Αναψυχής
97,La Rioja,ES,47.98,overcast clouds,42.25,-2.5,Casa Concejos
100,Olga,RU,37.56,overcast clouds,43.7444,135.2892,Gostinitsa Rosmorport.
103,Mataura,NZ,47.41,few clouds,-46.1927,168.8643,Ellie's Villa
107,Lagoa,PT,57.15,overcast clouds,39.05,-27.9833,Casa Das Faias
113,Klaksvik,FO,47.32,overcast clouds,62.2266,-6.589,Airbnb rooms
124,Portland,US,51.42,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
131,Praia Da Vitoria,PT,59.25,broken clouds,38.7333,-27.0667,Hotel Branco I
135,Jiayuguan,CN,41.11,broken clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
145,Grindavik,IS,46.87,light intensity drizzle rain,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
149,Kostino,RU,30.56,light snow,58.9097,53.2691,"Кафе-гостиница ""Привал"" бесплатный WiFi, номер 500 руб."
157,Zheleznodorozhnyy,RU,39.72,scattered clouds,55.7503,38.0042,Hotel Dali
158,Eureka,US,43.99,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
160,Nikolskoye,RU,30.87,light snow,59.7035,30.7861,Tourist House - Sablino
161,Aksu,CN,53.71,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
163,Mosquera,CO,59.09,scattered clouds,4.7059,-74.2302,Hotel SJ
173,Fuxin,CN,42.3,overcast clouds,42.0156,121.6589,Xinya International Hotel
175,Jamestown,US,35.53,light snow,42.097,-79.2353,Hampton Inn & Suites Jamestown
178,Mount Gambier,AU,51.71,fog,-37.8333,140.7667,The Commodore
183,Fortuna,US,43.72,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
184,Roald,NO,45.34,broken clouds,62.5833,6.1333,Flem Cabins
185,Kolvereid,NO,35.58,overcast clouds,64.8655,11.6047,Kolvereid Familiecamping
189,Waipawa,NZ,54.75,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
192,Graham,US,46.81,overcast clouds,47.0529,-122.2943,Moxie Meadows Hostel
193,Sitka,US,33.69,clear sky,57.0531,-135.33,Westmark Sitka
198,Pacific Grove,US,51.91,overcast clouds,36.6177,-121.9166,Lovers Point Inn
202,Vestmannaeyjar,IS,47.39,light rain,63.4427,-20.2734,Glamping & Camping
205,Lompoc,US,53.13,fog,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
206,Bloomfield,US,52.05,overcast clouds,40.8068,-74.1854,Troy Carroll
214,Shevchenkove,UA,50.97,overcast clouds,49.6959,37.1735,Hotelʹ Komunalʹnoho Pidpryyemstva Akva
215,Taikang,CN,33.4,overcast clouds,46.8333,124.4167,Jia Hotel
218,Yerky,UA,56.35,overcast clouds,48.9906,30.9882,Hotelʹ
220,Alekseyevka,RU,44.38,overcast clouds,50.6309,38.6903,Apartment on Ploshchad Pobedy
222,Kuroiso,JP,55.24,light rain,36.9667,140.05,HOTEL SOUMAYA
225,Broome,US,42.37,light rain,42.2506,-75.833,Chenango Valley State Park
230,Tuatapere,NZ,51.76,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
232,Westport,US,53.29,overcast clouds,41.1415,-73.3579,The Inn at Longshore
237,Kamaishi,JP,55.35,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
241,Miquelon,PM,37.4,overcast clouds,47.0975,-56.3814,Island Inn
242,Nemuro,JP,41.52,moderate rain,43.3236,145.575,Hotel Nemuro Kaiyoutei
243,Huntsville,US,53.22,clear sky,34.7304,-86.5861,Embassy Suites by Hilton Huntsville Hotel & Spa
244,Anshun,CN,48.13,overcast clouds,26.25,105.9333,安顺麦吉风格酒店
246,Rabo De Peixe,PT,56.71,broken clouds,37.8,-25.5833,Quinta das Giestas
251,Lyuban,BY,46.89,broken clouds,52.7985,28.0048,"Gostinitsa ""Oressa"""
257,Great Falls,US,31.39,clear sky,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
261,Burnie,AU,59.76,broken clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
266,Morro Bay,US,49.91,overcast clouds,35.3658,-120.8499,Inn at Morro Bay
268,Xining,CN,35.29,overcast clouds,36.6167,101.7667,Super Leisure Hotel
271,Zhaoyuan,CN,52.47,broken clouds,37.3592,120.3964,Super 8 Hotel Yantai Zhaoyuan Bus Terminal Branch
276,West Plains,US,47.21,clear sky,36.7281,-91.8524,West Plains Motel
280,Malartic,CA,34.02,light snow,48.1335,-78.1328,Camping Regional De Malartic
282,Xichang,CN,46.65,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
